week,time,type,location
7,01:01,sengen,力王山脈
7,02:33,sengen,武神荒野
7,04:04,sengen,武神荒野
7,05:34,sengen,知性森林
7,07:01,sengen,武神荒野
7,08:27,sengen,武神荒野
7,09:55,sengen,武神荒野
7,11:24,sengen,力王山脈
7,12:59,sengen,知性森林
7,14:26,sengen,力王山脈
7,15:59,sengen,知性森林
7,17:33,sengen,力王山脈
7,19:07,sengen,武神荒野
7,20:40,sengen,知性森林
7,22:14,sengen,知性森林
7,23:42,sengen,知性森林
